algorithm,runtime,graph_nodes,edge_probability,Budget
heuristic_minbudget,3.953235400011181,100,0.8,"(41, [(67, 1), (39, 1), (34, 1), (24, 1), (2, 1), (40, 1), (51, 1), (82, 1), (29, 1), (27, 1), (46, 1), (87, 1), (64, 1), (56, 1), (16, 1), (19, 1), (23, 1), (53, 1), (94, 1), (10, 1), (98, 1), (66, 1), (1, 1), (44, 1), (33, 1), (11, 1), (13, 1), (18, 1), (32, 1), (59, 1), (93, 1), (85, 1), (41, 1), (79, 1), (89, 1), (62, 1), (68, 1), (95, 1), (96, 1), (77, 1), (99, 1)])"
spreading_minbudget,1.3322335999982897,100,0.8,"(14, [(6, 1), (1, 1), (22, 1), (29, 1), (46, 1), (58, 1), (69, 1), (75, 1), (77, 1), (82, 1), (85, 1), (92, 1), (95, 1), (40, 1)])"
heuristic_minbudget,2.7363971000013407,100,0.8,"(14, [(6, 1), (40, 1), (58, 1), (29, 1), (82, 1), (69, 1), (22, 1), (46, 1), (92, 1), (85, 1), (77, 1), (1, 1), (75, 1), (95, 1)])"
spreading_minbudget,0.8161610999959521,100,0.8,"(8, [(22, 1), (31, 1), (45, 1), (85, 1), (86, 1), (91, 1), (96, 1), (44, 1)])"
heuristic_minbudget,2.7852620000048773,100,0.8,"(8, [(45, 1), (22, 1), (91, 1), (31, 1), (86, 1), (44, 1), (85, 1), (96, 1)])"
spreading_minbudget,1.302543899990269,100,0.8,"(14, [(2, 1), (10, 1), (45, 1), (63, 1), (64, 1), (65, 1), (79, 1), (85, 1), (91, 1), (92, 1), (96, 1), (52, 1), (74, 1), (40, 1)])"
heuristic_minbudget,4.053526600007899,100,0.8,"(14, [(2, 1), (40, 1), (52, 1), (64, 1), (65, 1), (91, 1), (45, 1), (92, 1), (10, 1), (74, 1), (85, 1), (63, 1), (79, 1), (96, 1)])"
spreading_minbudget,6.874619900001562,200,0.1,"(13, [(48, 1), (24, 1), (157, 1), (42, 1), (196, 1), (33, 1), (21, 1), (59, 1), (153, 1), (28, 1), (52, 1), (136, 1), (99, 1)])"
heuristic_minbudget,0.3828627999901073,200,0.1,"(8, [(99, 1), (52, 1), (153, 1), (136, 1), (28, 1), (48, 1), (147, 1), (194, 1), (92, 2), (91, 2), (50, 2), (1, 2), (186, 2), (82, 2), (42, 2), (178, 2)])"
spreading_minbudget,3.6053887000016402,200,0.1,"(8, [(116, 1), (153, 1), (45, 1), (49, 1), (105, 1), (95, 1), (65, 1), (99, 1)])"
heuristic_minbudget,0.43296489999920595,200,0.1,"(5, [(99, 1), (65, 1), (153, 1), (194, 1), (76, 1), (64, 2), (29, 2), (91, 2), (168, 2), (80, 2)])"
spreading_minbudget,6.127774299995508,200,0.1,"(12, [(57, 1), (164, 1), (21, 1), (49, 1), (108, 1), (194, 1), (11, 1), (42, 1), (68, 1), (153, 1), (65, 1), (28, 1)])"
heuristic_minbudget,0.5014686999929836,200,0.1,"(8, [(194, 1), (153, 1), (28, 1), (65, 1), (106, 1), (48, 1), (52, 1), (76, 1), (29, 2), (177, 2), (142, 2), (171, 2), (178, 2), (120, 2), (16, 2), (128, 2)])"
spreading_minbudget,6.081753100006608,200,0.1,"(14, [(155, 1), (131, 1), (185, 1), (6, 1), (44, 1), (76, 1), (147, 1), (153, 1), (79, 1), (161, 1), (28, 1), (112, 1), (52, 1), (106, 1)])"
heuristic_minbudget,0.3598169000033522,200,0.1,"(8, [(147, 1), (153, 1), (52, 1), (76, 1), (106, 1), (112, 1), (28, 1), (48, 1), (192, 2), (3, 2), (101, 2), (22, 2), (122, 2), (78, 2), (195, 2), (17, 2)])"
spreading_minbudget,6.416437199994107,200,0.1,"(10, [(194, 1), (6, 1), (52, 1), (101, 1), (4, 1), (170, 1), (46, 1), (9, 1), (41, 1), (28, 1)])"
heuristic_minbudget,0.5401426000025822,200,0.1,"(8, [(52, 1), (4, 1), (28, 1), (194, 1), (106, 1), (147, 1), (76, 1), (48, 1), (17, 2), (2, 2), (61, 2), (50, 2), (115, 2), (143, 2), (16, 2), (93, 2)])"
spreading_minbudget,7.155516500002705,200,0.1,"(13, [(124, 1), (196, 1), (116, 1), (66, 1), (21, 1), (120, 1), (128, 1), (138, 1), (44, 1), (72, 1), (48, 1), (65, 1), (136, 1)])"
heuristic_minbudget,0.45384590000321623,200,0.1,"(9, [(48, 1), (44, 1), (136, 1), (65, 1), (147, 1), (52, 1), (194, 1), (76, 1), (106, 1), (170, 2), (184, 2), (12, 2), (50, 2), (2, 2), (57, 2), (129, 2), (87, 2), (69, 2)])"
spreading_minbudget,5.644121200006339,200,0.1,"(13, [(129, 1), (199, 1), (44, 1), (82, 1), (39, 1), (76, 1), (182, 1), (194, 1), (54, 1), (161, 1), (4, 1), (28, 1), (52, 1)])"
heuristic_minbudget,0.48520840000128374,200,0.1,"(9, [(194, 1), (76, 1), (52, 1), (4, 1), (28, 1), (161, 1), (147, 1), (48, 1), (44, 1), (17, 2), (107, 2), (57, 2), (129, 2), (122, 2), (81, 2), (108, 2), (121, 2), (2, 2)])"
spreading_minbudget,1.8839236000058008,200,0.1,"(5, [(48, 1), (91, 1), (42, 1), (136, 1), (106, 1)])"
