algorithm,runtime,graph_nodes,Budget,Budget_numeric
non_spreading_dirlaynet_minbudget,0.0324526999611407,21.0,"(2, [(1, 1), (11, 1)])",2.0
non_spreading_minbudget,0.0017871000454761,21.0,"(2, [(1, 1), (11, 1)])",2.0
heuristic_minbudget,0.0086780999554321,21.0,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0318545999471098,21.0,"(1, [(11, 1)])",1.0
non_spreading_minbudget,0.0019638999947346,21.0,"(1, [(11, 1)])",1.0
heuristic_minbudget,0.0090146000147797,21.0,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0313767000334337,21.0,"(2, [(1, 1), (2, 1)])",2.0
non_spreading_minbudget,0.0019981999648734,21.0,"(2, [(1, 1), (2, 1)])",2.0
heuristic_minbudget,0.0101062000030651,21.0,"(1, [(1, 1), (4, 2), (6, 3), (7, 4), (9, 5)])",1.0
non_spreading_dirlaynet_minbudget,0.0310296000097878,21.0,"(1, [(19, 1)])",1.0
non_spreading_minbudget,0.0018648999975994,21.0,"(1, [(19, 1)])",1.0
heuristic_minbudget,0.0087607000023126,21.0,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0304743000306189,21.0,"(1, [(20, 1)])",1.0
non_spreading_minbudget,0.0023323000059463,21.0,"(1, [(20, 1)])",1.0
heuristic_minbudget,0.0089506999938748,21.0,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0320996000082232,21.0,"(1, [(3, 1), (4, 2)])",1.0
non_spreading_minbudget,0.002473899978213,21.0,"(2, [(3, 1), (4, 1)])",2.0
heuristic_minbudget,0.0086495999712497,21.0,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0312687000259757,21.0,"(1, [(5, 2), (6, 3)])",1.0
non_spreading_minbudget,0.0020015999907627,21.0,"(2, [(5, 1), (6, 1)])",2.0
heuristic_minbudget,0.0088988000061362,21.0,"(2, [(1, 1), (2, 1)])",2.0
non_spreading_dirlaynet_minbudget,0.0448925999808125,16.0,"(1, [(2, 1)])",1.0
non_spreading_minbudget,0.0018397999810986,16.0,"(1, [(2, 1)])",1.0
heuristic_minbudget,0.0020683000329881,16.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.045840099977795,16.0,"(1, [(2, 1)])",1.0
non_spreading_minbudget,0.0018667000113055,16.0,"(1, [(2, 1)])",1.0
heuristic_minbudget,0.0018274000030942,16.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0498514999635517,16.0,"(1, [(13, 1)])",1.0
non_spreading_minbudget,0.0017471000319346,16.0,"(1, [(13, 1)])",1.0
heuristic_minbudget,0.0019945999956689,16.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0452963000279851,16.0,"(1, [(1, 1)])",1.0
non_spreading_minbudget,0.0019204000127501,16.0,"(1, [(1, 1)])",1.0
heuristic_minbudget,0.002203100011684,16.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0467155000078491,16.0,"(1, [(7, 1)])",1.0
non_spreading_minbudget,0.0019388999789953,16.0,"(1, [(7, 1)])",1.0
heuristic_minbudget,0.0019985000253655,16.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.046341199951712,16.0,"(1, [(4, 1)])",1.0
non_spreading_minbudget,0.0018950999947264,16.0,"(1, [(4, 1)])",1.0
heuristic_minbudget,0.0018339000525884,16.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0478542000055313,16.0,"(1, [(3, 1)])",1.0
non_spreading_minbudget,0.0016356999985873,16.0,"(1, [(3, 1)])",1.0
heuristic_minbudget,0.001847599982284,16.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0459425000008195,16.0,"(1, [(3, 1)])",1.0
non_spreading_minbudget,0.0016481999773532,16.0,"(1, [(3, 1)])",1.0
heuristic_minbudget,0.0018161999760195,16.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0496239999774843,16.0,"(1, [(3, 1)])",1.0
non_spreading_minbudget,0.0018115999992005,16.0,"(1, [(3, 1)])",1.0
heuristic_minbudget,0.0021072999807074,16.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0464031000155955,16.0,"(1, [(1, 1)])",1.0
non_spreading_minbudget,0.0017403000383637,16.0,"(1, [(1, 1)])",1.0
heuristic_minbudget,0.0017946999869309,16.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0759391000028699,51.0,"(1, [(28, 1), (46, 2)])",1.0
non_spreading_minbudget,0.0523617000435479,51.0,"(2, [(28, 1), (46, 1)])",2.0
heuristic_minbudget,0.2025503999902866,51.0,"(1, [(5, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0803911000257358,51.0,"(6, [(4, 1), (14, 1), (22, 1), (27, 1), (29, 1), (39, 1), (30, 2), (43, 2), (45, 2), (50, 2)])",6.0
non_spreading_minbudget,0.0056168000446632,51.0,"(10, [(4, 1), (39, 1), (43, 1), (45, 1), (14, 1), (50, 1), (22, 1), (27, 1), (29, 1), (30, 1)])",10.0
heuristic_minbudget,0.2244812999852001,51.0,"(3, [(22, 1), (4, 1), (14, 1)])",3.0
non_spreading_dirlaynet_minbudget,0.0788785000331699,51.0,"(5, [(3, 1), (21, 1), (27, 1), (37, 1), (47, 1), (41, 2), (44, 2)])",5.0
non_spreading_minbudget,0.0062677999958395,51.0,"(7, [(3, 1), (37, 1), (41, 1), (44, 1), (47, 1), (21, 1), (27, 1)])",7.0
heuristic_minbudget,0.2031415000092238,51.0,"(2, [(3, 1), (21, 1)])",2.0
non_spreading_dirlaynet_minbudget,0.0794174000038765,51.0,"(10, [(3, 1), (4, 1), (7, 1), (12, 1), (17, 1), (20, 1), (23, 1), (30, 1), (42, 1), (48, 1), (28, 2), (34, 2)])",10.0
non_spreading_minbudget,0.0062695000087842,51.0,"(12, [(34, 1), (3, 1), (4, 1), (7, 1), (42, 1), (12, 1), (48, 1), (17, 1), (20, 1), (23, 1), (28, 1), (30, 1)])",12.0
heuristic_minbudget,0.2088864999823272,51.0,"(7, [(20, 1), (17, 1), (3, 1), (4, 1), (7, 1), (23, 1), (12, 1)])",7.0
non_spreading_dirlaynet_minbudget,0.074504500022158,51.0,"(5, [(4, 1), (7, 1), (8, 1), (10, 1), (47, 1), (30, 2), (38, 2)])",5.0
non_spreading_minbudget,0.0073606999940238,51.0,"(7, [(4, 1), (38, 1), (7, 1), (8, 1), (10, 1), (47, 1), (30, 1)])",7.0
heuristic_minbudget,0.2125076000229455,51.0,"(4, [(10, 1), (4, 1), (7, 1), (8, 1)])",4.0
non_spreading_dirlaynet_minbudget,0.0764174999785609,51.0,"(5, [(2, 1), (6, 1), (7, 1), (23, 1), (48, 1), (44, 2), (45, 2)])",5.0
non_spreading_minbudget,0.005363899981603,51.0,"(7, [(2, 1), (6, 1), (7, 1), (44, 1), (45, 1), (48, 1), (23, 1)])",7.0
heuristic_minbudget,0.2344481000327505,51.0,"(4, [(7, 1), (23, 1), (2, 1), (6, 1), (45, 2), (44, 2), (48, 2), (26, 2)])",4.0
non_spreading_dirlaynet_minbudget,0.0779526999685913,51.0,"(6, [(9, 1), (16, 1), (17, 1), (22, 1), (23, 1), (28, 1), (40, 2)])",6.0
non_spreading_minbudget,0.0067635999876074,51.0,"(7, [(40, 1), (9, 1), (16, 1), (17, 1), (22, 1), (23, 1), (28, 1)])",7.0
heuristic_minbudget,0.2359384999726899,51.0,"(5, [(22, 1), (17, 1), (16, 1), (23, 1), (9, 1)])",5.0
non_spreading_dirlaynet_minbudget,0.0769963999628089,51.0,"(9, [(4, 1), (12, 1), (13, 1), (14, 1), (19, 1), (20, 1), (35, 1), (39, 1), (50, 1), (29, 2), (32, 2), (43, 2)])",9.0
non_spreading_minbudget,0.0062762000015936,51.0,"(12, [(32, 1), (35, 1), (4, 1), (39, 1), (43, 1), (12, 1), (14, 1), (13, 1), (50, 1), (19, 1), (20, 1), (29, 1)])",12.0
heuristic_minbudget,0.2469904000172391,51.0,"(6, [(19, 1), (12, 1), (20, 1), (4, 1), (13, 1), (14, 1)])",6.0
non_spreading_dirlaynet_minbudget,0.0780509000178426,51.0,"(9, [(2, 1), (4, 1), (5, 1), (6, 1), (9, 1), (10, 1), (23, 1), (25, 1), (30, 1), (28, 2), (33, 2)])",9.0
non_spreading_minbudget,0.0068468999816104,51.0,"(11, [(33, 1), (2, 1), (4, 1), (5, 1), (6, 1), (9, 1), (10, 1), (23, 1), (25, 1), (28, 1), (30, 1)])",11.0
heuristic_minbudget,0.2767991999862715,51.0,"(8, [(5, 1), (10, 1), (4, 1), (23, 1), (25, 1), (2, 1), (6, 1), (9, 1)])",8.0
non_spreading_dirlaynet_minbudget,0.0769560000044293,51.0,"(8, [(5, 1), (6, 1), (17, 1), (22, 1), (25, 1), (31, 1), (36, 1), (42, 1), (30, 2), (45, 2)])",8.0
non_spreading_minbudget,0.0058203000226058,51.0,"(10, [(36, 1), (5, 1), (6, 1), (42, 1), (45, 1), (17, 1), (22, 1), (25, 1), (30, 1), (31, 1)])",10.0
heuristic_minbudget,0.2323917999747209,51.0,"(5, [(5, 1), (22, 1), (17, 1), (25, 1), (6, 1)])",5.0
non_spreading_dirlaynet_minbudget,0.0694575000088661,51.0,"(3, [(3, 1), (6, 1), (24, 1), (12, 2)])",3.0
non_spreading_minbudget,0.0046296999789774,51.0,"(4, [(24, 1), (3, 1), (12, 1), (6, 1)])",4.0
heuristic_minbudget,0.0744974000263027,51.0,"(2, [(3, 1), (6, 1), (12, 2), (15, 2)])",2.0
non_spreading_dirlaynet_minbudget,0.0682190000079572,51.0,"(2, [(48, 1), (49, 1)])",2.0
non_spreading_minbudget,0.0049936000141315,51.0,"(2, [(48, 1), (49, 1)])",2.0
heuristic_minbudget,0.1332904000300914,51.0,"(1, [(8, 1), (15, 2), (22, 3), (38, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0682417000061832,51.0,"(10, [(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)])",10.0
non_spreading_minbudget,0.0065498999902047,51.0,"(10, [(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)])",10.0
heuristic_minbudget,0.1349201999837532,51.0,"(4, [(5, 1), (9, 1), (8, 1), (2, 1), (19, 2), (12, 2), (15, 2), (20, 2), (22, 3), (27, 3), (28, 3), (29, 3), (38, 4), (35, 4), (32, 4), (34, 4)])",4.0
non_spreading_dirlaynet_minbudget,0.0654619000270031,51.0,"(1, [(40, 1)])",1.0
non_spreading_minbudget,0.0050872000283561,51.0,"(1, [(40, 1)])",1.0
heuristic_minbudget,0.1054562000208534,51.0,"(1, [(8, 1), (15, 2), (22, 3)])",1.0
non_spreading_dirlaynet_minbudget,0.0727884999942034,51.0,"(1, [(3, 1), (35, 1), (27, 2)])",1.0
non_spreading_minbudget,0.0056058999616652,51.0,"(3, [(3, 1), (35, 1), (27, 1)])",3.0
heuristic_minbudget,0.1057666999986395,51.0,"(1, [(3, 1), (20, 2), (27, 3)])",1.0
non_spreading_dirlaynet_minbudget,0.0688791999709792,51.0,"(2, [(23, 1), (44, 1), (45, 1), (37, 2), (40, 3)])",2.0
non_spreading_minbudget,0.007971599989105,51.0,"(5, [(37, 1), (40, 1), (44, 1), (45, 1), (23, 1)])",5.0
heuristic_minbudget,0.1432789000100456,51.0,"(2, [(8, 1), (2, 1), (15, 2), (20, 2), (23, 3), (22, 3), (37, 4), (40, 4)])",2.0
non_spreading_dirlaynet_minbudget,0.0684245000011287,51.0,"(1, [(44, 1)])",1.0
non_spreading_minbudget,0.0047918999916873,51.0,"(1, [(44, 1)])",1.0
heuristic_minbudget,0.1323068999918177,51.0,"(1, [(8, 1), (15, 2), (22, 3), (34, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0716827999567613,51.0,"(10, [(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1)])",10.0
