algorithm,runtime,graph_nodes,Budget
non_spreading_minbudget,0.0023759000468999147,15,"(2, [(9, 1), (10, 1)])"
heuristic_minbudget,0.005910000007133931,15,"(1, [(2, 1), (4, 2)])"
non_spreading_dirlaynet_minbudget,0.020777199999429286,15,"(1, [(7, 1), (3, 2)])"
non_spreading_minbudget,0.002032599993981421,15,"(2, [(3, 1), (7, 1)])"
heuristic_minbudget,0.0061916999984532595,15,"(1, [(2, 1), (4, 2)])"
non_spreading_dirlaynet_minbudget,0.019901699968613684,15,"(1, [(8, 1)])"
non_spreading_minbudget,0.0016278999974019825,15,"(1, [(8, 1)])"
heuristic_minbudget,0.006126600026618689,15,"(1, [(2, 1), (4, 2)])"
non_spreading_dirlaynet_minbudget,0.0315734000178054,21,"(2, [(9, 1), (10, 1)])"
non_spreading_minbudget,0.0022109999554231763,21,"(2, [(9, 1), (10, 1)])"
heuristic_minbudget,0.008580899972002953,21,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])"
non_spreading_dirlaynet_minbudget,0.04219929996179417,21,"(2, [(1, 1), (10, 1)])"
non_spreading_minbudget,0.0026851000147871673,21,"(2, [(1, 1), (10, 1)])"
heuristic_minbudget,0.008916500024497509,21,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])"
non_spreading_dirlaynet_minbudget,0.03328849998069927,21,"(1, [(11, 1)])"
non_spreading_minbudget,0.002166600024793297,21,"(1, [(11, 1)])"
heuristic_minbudget,0.008623800007626414,21,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])"
non_spreading_dirlaynet_minbudget,0.03245269996114075,21,"(2, [(1, 1), (11, 1)])"
non_spreading_minbudget,0.0017871000454761088,21,"(2, [(1, 1), (11, 1)])"
heuristic_minbudget,0.008678099955432117,21,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])"
non_spreading_dirlaynet_minbudget,0.03185459994710982,21,"(1, [(11, 1)])"
non_spreading_minbudget,0.0019638999947346747,21,"(1, [(11, 1)])"
heuristic_minbudget,0.009014600014779717,21,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])"
non_spreading_dirlaynet_minbudget,0.031376700033433735,21,"(2, [(1, 1), (2, 1)])"
non_spreading_minbudget,0.0019981999648734927,21,"(2, [(1, 1), (2, 1)])"
heuristic_minbudget,0.010106200003065169,21,"(1, [(1, 1), (4, 2), (6, 3), (7, 4), (9, 5)])"
non_spreading_dirlaynet_minbudget,0.031029600009787828,21,"(1, [(19, 1)])"
non_spreading_minbudget,0.001864899997599423,21,"(1, [(19, 1)])"
heuristic_minbudget,0.00876070000231266,21,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])"
non_spreading_dirlaynet_minbudget,0.030474300030618906,21,"(1, [(20, 1)])"
