algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
heuristic_maxsave,0.0607129998970776,2,50.0,0.25,15
spreading_maxsave,0.1504382999846711,3,50.0,0.25,18
heuristic_maxsave,0.0639942999696359,3,50.0,0.25,18
spreading_maxsave,0.159792699967511,5,50.0,0.25,20
heuristic_maxsave,0.0549255000660195,5,50.0,0.25,22
spreading_maxsave,0.1965117000509053,7,50.0,0.25,22
heuristic_maxsave,0.053175100008957,7,50.0,0.25,22
spreading_maxsave,0.2833965999307111,10,50.0,0.25,22
heuristic_maxsave,0.053472299943678,10,50.0,0.25,22
spreading_maxsave,0.0974899999564513,1,50.0,0.25,12
heuristic_maxsave,0.0426357999676838,1,50.0,0.25,10
spreading_maxsave,0.1114416000200435,2,50.0,0.25,18
heuristic_maxsave,0.0517554000252857,2,50.0,0.25,15
spreading_maxsave,0.1292954999953508,3,50.0,0.25,19
heuristic_maxsave,0.0498529999749735,3,50.0,0.25,19
spreading_maxsave,0.3117895999457687,5,50.0,0.25,21
heuristic_maxsave,0.0839932999806478,5,50.0,0.25,23
spreading_maxsave,0.2661738999886438,7,50.0,0.25,23
heuristic_maxsave,0.0461954000638797,7,50.0,0.25,24
spreading_maxsave,0.3129799000453204,10,50.0,0.25,24
heuristic_maxsave,0.0383458998985588,10,50.0,0.25,24
spreading_maxsave,0.0835953999776393,1,50.0,0.25,7
heuristic_maxsave,0.0475772999925538,1,50.0,0.25,8
spreading_maxsave,0.212792900041677,2,50.0,0.25,9
heuristic_maxsave,0.0481220000656321,2,50.0,0.25,9
spreading_maxsave,0.1169246000936254,3,50.0,0.25,10
heuristic_maxsave,0.0549955999013036,3,50.0,0.25,10
spreading_maxsave,0.1766259999712929,5,50.0,0.25,10
heuristic_maxsave,0.0523681000340729,5,50.0,0.25,10
spreading_maxsave,0.3571579999988898,7,50.0,0.25,10
heuristic_maxsave,0.0512411000672727,7,50.0,0.25,10
spreading_maxsave,0.3861121000954881,10,50.0,0.25,10
heuristic_maxsave,0.036354900104925,10,50.0,0.25,10
spreading_maxsave,0.1012435000156983,1,50.0,0.25,7
heuristic_maxsave,0.0483889000024646,1,50.0,0.25,6
spreading_maxsave,0.1108963000588119,2,50.0,0.25,8
heuristic_maxsave,0.0468390000751242,2,50.0,0.25,8
spreading_maxsave,0.2402450999943539,3,50.0,0.25,9
heuristic_maxsave,0.0780716999433934,3,50.0,0.25,9
spreading_maxsave,0.2434247999917715,5,50.0,0.25,9
heuristic_maxsave,0.0869542999425903,5,50.0,0.25,9
spreading_maxsave,0.2930632999632507,7,50.0,0.25,9
heuristic_maxsave,0.0602278999285772,7,50.0,0.25,9
spreading_maxsave,0.2587705999612808,10,50.0,0.25,9
heuristic_maxsave,0.0354867000132799,10,50.0,0.25,9
spreading_maxsave,0.0791144999675452,1,50.0,0.25,6
heuristic_maxsave,0.0442832000553607,1,50.0,0.25,4
spreading_maxsave,0.1479542000452056,2,50.0,0.25,6
heuristic_maxsave,0.0541044999845325,2,50.0,0.25,6
spreading_maxsave,0.1207474999828264,3,50.0,0.25,6
heuristic_maxsave,0.0498340000631287,3,50.0,0.25,6
spreading_maxsave,0.1806728999363258,5,50.0,0.25,6
heuristic_maxsave,0.0517258000327274,5,50.0,0.25,6
spreading_maxsave,0.317149999900721,7,50.0,0.25,6
heuristic_maxsave,0.0509975999593734,7,50.0,0.25,6
spreading_maxsave,0.2432384999701753,10,50.0,0.25,6
heuristic_maxsave,0.0358300999505445,10,50.0,0.25,6
spreading_maxsave,0.0646662000799551,1,50.0,0.5,5
heuristic_maxsave,0.0420698999660089,1,50.0,0.5,5
spreading_maxsave,0.1117839999496936,2,50.0,0.5,6
heuristic_maxsave,0.0567409000359475,2,50.0,0.5,6
spreading_maxsave,0.1183312999783083,3,50.0,0.5,7
heuristic_maxsave,0.0638525000540539,3,50.0,0.5,7
spreading_maxsave,0.2578336000442505,5,50.0,0.5,9
heuristic_maxsave,0.0747660000342875,5,50.0,0.5,9
spreading_maxsave,0.2695337999612093,7,50.0,0.5,10
heuristic_maxsave,0.0986241000937298,7,50.0,0.5,10
spreading_maxsave,0.2576121999882161,10,50.0,0.5,10
heuristic_maxsave,0.1201113999122753,10,50.0,0.5,10
spreading_maxsave,0.0675719999708235,1,50.0,0.5,3
heuristic_maxsave,0.0520035999361425,1,50.0,0.5,3
spreading_maxsave,0.0998485001036897,2,50.0,0.5,3
heuristic_maxsave,0.054195599979721,2,50.0,0.5,3
spreading_maxsave,0.1150476000038907,3,50.0,0.5,3
heuristic_maxsave,0.0498848999850451,3,50.0,0.5,3
spreading_maxsave,0.2547227999893948,5,50.0,0.5,3
heuristic_maxsave,0.0667473999783396,5,50.0,0.5,3
spreading_maxsave,0.171655400074087,7,50.0,0.5,3
heuristic_maxsave,0.0812498000450432,7,50.0,0.5,3
spreading_maxsave,0.2445549999829381,10,50.0,0.5,3
heuristic_maxsave,0.1059228000231087,10,50.0,0.5,3
spreading_maxsave,0.076103699975647,1,50.0,0.5,10
heuristic_maxsave,0.0402615000493824,1,50.0,0.5,9
spreading_maxsave,0.1002600999781861,2,50.0,0.5,11
heuristic_maxsave,0.0480114000383764,2,50.0,0.5,12
spreading_maxsave,0.1028288999805226,3,50.0,0.5,12
heuristic_maxsave,0.0575600999873131,3,50.0,0.5,13
spreading_maxsave,0.1529512000270187,5,50.0,0.5,14
heuristic_maxsave,0.084340100060217,5,50.0,0.5,15
spreading_maxsave,0.1690201999153942,7,50.0,0.5,16
heuristic_maxsave,0.0824674000032246,7,50.0,0.5,17
spreading_maxsave,0.2079559999983757,10,50.0,0.5,19
heuristic_maxsave,0.1074409999419003,10,50.0,0.5,20
spreading_maxsave,0.0652152999537065,1,50.0,0.5,13
heuristic_maxsave,0.0383330000331625,1,50.0,0.5,13
spreading_maxsave,0.1923443999839946,2,50.0,0.5,15
heuristic_maxsave,0.0492197000421583,2,50.0,0.5,15
spreading_maxsave,0.1008597000036388,3,50.0,0.5,16
heuristic_maxsave,0.0572383999824523,3,50.0,0.5,16
spreading_maxsave,0.1306041000643745,5,50.0,0.5,18
heuristic_maxsave,0.0648027999559417,5,50.0,0.5,18
spreading_maxsave,0.1993231000378728,7,50.0,0.5,20
heuristic_maxsave,0.0937043000012636,7,50.0,0.5,20
spreading_maxsave,0.2220545000163838,10,50.0,0.5,23
heuristic_maxsave,0.1032579999882727,10,50.0,0.5,23
spreading_maxsave,0.0632792999967932,1,50.0,0.5,11
heuristic_maxsave,0.03865759994369,1,50.0,0.5,11
spreading_maxsave,0.196595299988985,2,50.0,0.5,12
heuristic_maxsave,0.0741162999765947,2,50.0,0.5,12
spreading_maxsave,0.1197109000058844,3,50.0,0.5,13
heuristic_maxsave,0.059152300003916,3,50.0,0.5,13
spreading_maxsave,0.1375363999977708,5,50.0,0.5,15
heuristic_maxsave,0.0761725000338628,5,50.0,0.5,15
spreading_maxsave,0.1716295999940484,7,50.0,0.5,17
heuristic_maxsave,0.0802835000213235,7,50.0,0.5,17
spreading_maxsave,0.2404177000280469,10,50.0,0.5,17
heuristic_maxsave,0.1186982999788597,10,50.0,0.5,17
spreading_maxsave,0.069978000014089,1,50.0,0.5,12
heuristic_maxsave,0.1485431999899447,1,50.0,0.5,10
spreading_maxsave,0.1188942999579012,2,50.0,0.5,16
heuristic_maxsave,0.058283899910748,2,50.0,0.5,16
spreading_maxsave,0.1062370999716222,3,50.0,0.5,17
heuristic_maxsave,0.0547192998928949,3,50.0,0.5,17
spreading_maxsave,0.1412981000030413,5,50.0,0.5,19
heuristic_maxsave,0.0672442000359296,5,50.0,0.5,19
spreading_maxsave,0.1836963000241667,7,50.0,0.5,21
heuristic_maxsave,0.0821031000232324,7,50.0,0.5,21
spreading_maxsave,0.3304358000168577,10,50.0,0.5,24
heuristic_maxsave,0.1048407000489533,10,50.0,0.5,24
spreading_maxsave,0.062761600012891,1,50.0,0.5,2
heuristic_maxsave,0.0461326000513508,1,50.0,0.5,3
spreading_maxsave,0.0776246000314131,2,50.0,0.5,3
heuristic_maxsave,0.048270900035277,2,50.0,0.5,3
spreading_maxsave,0.1014386999886483,3,50.0,0.5,3
heuristic_maxsave,0.0495693000266328,3,50.0,0.5,3
spreading_maxsave,0.1322196000255644,5,50.0,0.5,3
heuristic_maxsave,0.0632596999639645,5,50.0,0.5,3
spreading_maxsave,0.1886152999941259,7,50.0,0.5,3
heuristic_maxsave,0.0987700000405311,7,50.0,0.5,3
spreading_maxsave,0.3335721999173984,10,50.0,0.5,3
heuristic_maxsave,0.1183841000311076,10,50.0,0.5,3
