algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
spreading_maxsave,0.13544169999659061,2,50,0.25,14
heuristic_maxsave,0.05631240003276616,2,50,0.25,11
spreading_maxsave,0.1389859999762848,3,50,0.25,15
heuristic_maxsave,0.05278669996187091,3,50,0.25,14
spreading_maxsave,0.1806508000008762,5,50,0.25,17
heuristic_maxsave,0.04513300000689924,5,50,0.25,17
spreading_maxsave,0.208839499973692,7,50,0.25,17
heuristic_maxsave,0.05217739997897297,7,50,0.25,17
spreading_maxsave,0.2692412999458611,10,50,0.25,17
heuristic_maxsave,0.050244799931533635,10,50,0.25,17
spreading_maxsave,0.08390219998545945,1,50,0.25,2
heuristic_maxsave,0.038785000098869205,1,50,0.25,3
spreading_maxsave,0.24485520005691797,2,50,0.25,3
heuristic_maxsave,0.06999979994725436,2,50,0.25,3
spreading_maxsave,0.14819730003364384,3,50,0.25,3
heuristic_maxsave,0.052012400003150105,3,50,0.25,3
spreading_maxsave,0.1651492000091821,5,50,0.25,3
heuristic_maxsave,0.05245620000641793,5,50,0.25,3
spreading_maxsave,0.23518250009510666,7,50,0.25,3
heuristic_maxsave,0.04551070008892566,7,50,0.25,3
spreading_maxsave,0.29919609997887164,10,50,0.25,3
heuristic_maxsave,0.0559801000636071,10,50,0.25,3
spreading_maxsave,0.13137789990287274,1,50,0.25,10
heuristic_maxsave,0.05398630001582205,1,50,0.25,6
spreading_maxsave,0.12832910008728504,2,50,0.25,12
heuristic_maxsave,0.062374699977226555,2,50,0.25,9
spreading_maxsave,0.1358664999715984,3,50,0.25,13
heuristic_maxsave,0.05213640001602471,3,50,0.25,14
spreading_maxsave,0.1582406999077648,5,50,0.25,14
heuristic_maxsave,0.054771500057540834,5,50,0.25,14
spreading_maxsave,0.22594929998740554,7,50,0.25,14
heuristic_maxsave,0.050406399997882545,7,50,0.25,14
spreading_maxsave,0.2382270999951288,10,50,0.25,14
heuristic_maxsave,0.03412239998579025,10,50,0.25,14
spreading_maxsave,0.08819799998309463,1,50,0.25,12
heuristic_maxsave,0.10460500000044703,1,50,0.25,10
spreading_maxsave,0.22915680008009076,2,50,0.25,18
heuristic_maxsave,0.06071299989707768,2,50,0.25,15
spreading_maxsave,0.15043829998467118,3,50,0.25,18
heuristic_maxsave,0.0639942999696359,3,50,0.25,18
spreading_maxsave,0.159792699967511,5,50,0.25,20
heuristic_maxsave,0.054925500066019595,5,50,0.25,22
spreading_maxsave,0.19651170005090535,7,50,0.25,22
heuristic_maxsave,0.05317510000895709,7,50,0.25,22
spreading_maxsave,0.2833965999307111,10,50,0.25,22
heuristic_maxsave,0.05347229994367808,10,50,0.25,22
spreading_maxsave,0.09748999995645136,1,50,0.25,12
heuristic_maxsave,0.04263579996768385,1,50,0.25,10
spreading_maxsave,0.11144160002004355,2,50,0.25,18
heuristic_maxsave,0.05175540002528578,2,50,0.25,15
spreading_maxsave,0.12929549999535084,3,50,0.25,19
heuristic_maxsave,0.0498529999749735,3,50,0.25,19
spreading_maxsave,0.3117895999457687,5,50,0.25,21
heuristic_maxsave,0.08399329998064786,5,50,0.25,23
spreading_maxsave,0.2661738999886438,7,50,0.25,23
heuristic_maxsave,0.04619540006387979,7,50,0.25,24
spreading_maxsave,0.3129799000453204,10,50,0.25,24
heuristic_maxsave,0.038345899898558855,10,50,0.25,24
spreading_maxsave,0.08359539997763932,1,50,0.25,7
heuristic_maxsave,0.04757729999255389,1,50,0.25,8
spreading_maxsave,0.21279290004167706,2,50,0.25,9
heuristic_maxsave,0.048122000065632164,2,50,0.25,9
spreading_maxsave,0.11692460009362549,3,50,0.25,10
heuristic_maxsave,0.05499559990130365,3,50,0.25,10
spreading_maxsave,0.1766259999712929,5,50,0.25,10
heuristic_maxsave,0.052368100034072995,5,50,0.25,10
spreading_maxsave,0.35715799999888986,7,50,0.25,10
heuristic_maxsave,0.05124110006727278,7,50,0.25,10
spreading_maxsave,0.38611210009548813,10,50,0.25,10
heuristic_maxsave,0.036354900104925036,10,50,0.25,10
spreading_maxsave,0.10124350001569837,1,50,0.25,7
heuristic_maxsave,0.04838890000246465,1,50,0.25,6
spreading_maxsave,0.1108963000588119,2,50,0.25,8
heuristic_maxsave,0.046839000075124204,2,50,0.25,8
spreading_maxsave,0.24024509999435395,3,50,0.25,9
heuristic_maxsave,0.07807169994339347,3,50,0.25,9
spreading_maxsave,0.24342479999177158,5,50,0.25,9
heuristic_maxsave,0.0869542999425903,5,50,0.25,9
spreading_maxsave,0.29306329996325076,7,50,0.25,9
