algorithm,runtime,graph_nodes,edge_probability,Budget,Budget_numeric
spreading_minbudget,0.0425314999883994,20,0.8,"(3, [(3, 1), (14, 1), (18, 1)])",3
heuristic_minbudget,0.0554009000188671,20,0.8,"(3, [(14, 1), (3, 1), (18, 1)])",3
spreading_minbudget,0.1286714000161737,20,0.8,"(6, [(12, 1), (3, 1), (9, 1), (14, 1), (16, 1), (19, 1)])",6
heuristic_minbudget,0.061102999956347,20,0.8,"(6, [(12, 1), (9, 1), (3, 1), (16, 1), (14, 1), (19, 1)])",6
spreading_minbudget,0.0456093000248074,20,0.8,"(3, [(14, 1), (15, 1), (16, 1)])",3
heuristic_minbudget,0.0545702999806962,20,0.8,"(3, [(15, 1), (16, 1), (14, 1)])",3
spreading_minbudget,0.0180893999640829,20,0.8,"(2, [(3, 1), (19, 1)])",2
heuristic_minbudget,0.0758064999827183,20,0.8,"(2, [(3, 1), (19, 1)])",2
spreading_minbudget,0.0860966000473126,20,0.8,"(5, [(8, 1), (6, 1), (12, 1), (14, 1), (18, 1)])",5
heuristic_minbudget,0.0751718999817967,20,0.8,"(5, [(12, 1), (6, 1), (8, 1), (18, 1), (14, 1)])",5
spreading_minbudget,0.0363889000145718,20,0.8,"(2, [(9, 1), (8, 1)])",2
heuristic_minbudget,0.0640965999918989,20,0.8,"(2, [(9, 1), (8, 1)])",2
spreading_minbudget,0.0908787000225856,20,0.8,"(6, [(3, 1), (6, 1), (9, 1), (15, 1), (16, 1), (18, 1)])",6
heuristic_minbudget,0.0651789999683387,20,0.8,"(6, [(15, 1), (9, 1), (3, 1), (18, 1), (6, 1), (16, 1)])",6
spreading_minbudget,0.1663286999682895,50,0.1,"(2, [(24, 1), (30, 1)])",2
heuristic_minbudget,0.0181291999761015,50,0.1,"(1, [(24, 1), (15, 2), (41, 3), (18, 4)])",1
spreading_minbudget,0.1857682999689132,50,0.1,"(1, [(44, 1)])",1
heuristic_minbudget,0.0144249000004492,50,0.1,"(1, [(30, 1), (27, 2), (39, 3)])",1
spreading_minbudget,0.2632867000065744,50,0.1,"(1, [(30, 1), (14, 2)])",1
heuristic_minbudget,0.0151469000265933,50,0.1,"(1, [(30, 1), (14, 2), (26, 3)])",1
spreading_minbudget,0.4464174999739043,50,0.1,"(2, [(24, 1), (30, 1)])",2
heuristic_minbudget,0.0087368999957107,50,0.1,"(2, [(24, 1), (30, 1)])",2
spreading_minbudget,0.2158480999642051,50,0.1,"(2, [(16, 1), (30, 1)])",2
heuristic_minbudget,0.0159633999573998,50,0.1,"(1, [(30, 1), (16, 2), (26, 3)])",1
spreading_minbudget,0.3167150999652222,50,0.1,"(2, [(16, 1), (24, 1), (9, 2), (1, 2)])",2
heuristic_minbudget,0.0151756000122986,50,0.1,"(1, [(24, 1), (9, 2), (21, 3), (40, 4)])",1
spreading_minbudget,0.3574234000407159,50,0.1,"(2, [(30, 1), (24, 1)])",2
heuristic_minbudget,0.0061918999999761,50,0.1,"(2, [(24, 1), (30, 1)])",2
spreading_minbudget,0.1772516999626532,50,0.1,"(3, [(16, 1), (24, 1), (30, 1)])",3
heuristic_minbudget,0.0157225999864749,50,0.1,"(1, [(30, 1), (47, 2), (34, 3)])",1
spreading_minbudget,0.3258607000461779,50,0.1,"(2, [(24, 1), (30, 1)])",2
heuristic_minbudget,0.0082537999842315,50,0.1,"(2, [(24, 1), (30, 1)])",2
spreading_minbudget,0.3615455999970436,50,0.1,"(2, [(24, 1), (30, 1)])",2
heuristic_minbudget,0.0090109999873675,50,0.1,"(2, [(24, 1), (30, 1)])",2
spreading_minbudget,0.3584193999995477,50,0.25,"(5, [(36, 1), (15, 1), (6, 1), (45, 1), (8, 1)])",5
heuristic_minbudget,0.0720006999908946,50,0.25,"(4, [(45, 1), (6, 1), (8, 1), (18, 1), (39, 2), (49, 2), (1, 2), (7, 2)])",4
spreading_minbudget,0.4797437000088393,50,0.25,"(6, [(16, 1), (25, 1), (6, 1), (18, 1), (19, 1), (45, 1)])",6
heuristic_minbudget,0.1181222999584861,50,0.25,"(5, [(25, 1), (6, 1), (18, 1), (19, 1), (45, 1), (10, 2), (5, 2), (23, 2)])",5
spreading_minbudget,0.1573173999786377,50,0.25,"(2, [(31, 1), (38, 1)])",2
heuristic_minbudget,0.0901669000159017,50,0.25,"(2, [(25, 1), (18, 1), (5, 2), (17, 2)])",2
spreading_minbudget,0.1696924999705515,50,0.25,"(4, [(25, 1), (16, 1), (18, 1), (8, 1)])",4
heuristic_minbudget,0.0691995000233873,50,0.25,"(3, [(18, 1), (8, 1), (25, 1), (49, 2), (17, 2), (22, 2)])",3
spreading_minbudget,0.3039556000148877,50,0.25,"(5, [(36, 1), (6, 1), (2, 1), (42, 1), (11, 1)])",5
heuristic_minbudget,0.0680218000197783,50,0.25,"(3, [(42, 1), (6, 1), (11, 1), (46, 2), (32, 2), (21, 2)])",3
spreading_minbudget,0.2399955000146292,50,0.25,"(6, [(25, 1), (29, 1), (6, 1), (18, 1), (8, 1), (42, 1)])",6
heuristic_minbudget,0.0504615000099875,50,0.25,"(5, [(6, 1), (18, 1), (42, 1), (29, 1), (8, 1)])",5
spreading_minbudget,0.0162093000253662,50,0.25,"(1, [(8, 1)])",1
heuristic_minbudget,0.0495279000024311,50,0.25,"(1, [(8, 1)])",1
spreading_minbudget,0.4847843000316061,50,0.25,"(7, [(36, 1), (34, 1), (25, 1), (23, 1), (45, 1), (11, 1), (19, 1)])",7
heuristic_minbudget,0.0914367000223137,50,0.25,"(4, [(45, 1), (19, 1), (11, 1), (25, 1), (5, 2), (10, 2), (27, 2), (17, 2)])",4
spreading_minbudget,0.212552200013306,50,0.25,"(5, [(27, 1), (1, 1), (29, 1), (18, 1), (20, 1)])",5
heuristic_minbudget,0.0731771999853663,50,0.25,"(3, [(18, 1), (29, 1), (20, 1), (38, 2), (48, 2), (15, 2)])",3
spreading_minbudget,0.1623242999776266,50,0.25,"(4, [(36, 1), (2, 1), (6, 1), (18, 1)])",4
heuristic_minbudget,0.1175192999653518,50,0.25,"(3, [(18, 1), (6, 1), (25, 1), (40, 2), (44, 2), (39, 2)])",3
spreading_minbudget,0.3972278999863192,50,0.5,"(8, [(7, 1), (2, 1), (16, 1), (26, 1), (32, 1), (39, 1), (42, 1), (24, 1)])",8
heuristic_minbudget,0.4043617999996058,50,0.5,"(7, [(2, 1), (16, 1), (24, 1), (26, 1), (32, 1), (42, 1), (39, 1)])",7
spreading_minbudget,0.0437577000120654,50,0.5,"(2, [(16, 1), (22, 1)])",2
heuristic_minbudget,0.338668099953793,50,0.5,"(2, [(22, 1), (16, 1)])",2
spreading_minbudget,0.080804800032638,50,0.5,"(2, [(19, 1), (41, 1)])",2
heuristic_minbudget,0.3645514999516308,50,0.5,"(2, [(19, 1), (41, 1)])",2
spreading_minbudget,0.144917199970223,50,0.5,"(3, [(5, 1), (13, 1), (21, 1)])",3
heuristic_minbudget,0.3451480999938212,50,0.5,"(3, [(5, 1), (21, 1), (13, 1)])",3
spreading_minbudget,0.1299271000316366,50,0.5,"(2, [(7, 1), (24, 1)])",2
heuristic_minbudget,0.3795699999900535,50,0.5,"(2, [(7, 1), (24, 1)])",2
spreading_minbudget,0.4186737000127323,50,0.5,"(10, [(1, 1), (6, 1), (14, 1), (19, 1), (26, 1), (41, 1), (47, 1), (23, 1), (43, 1), (20, 1)])",10
heuristic_minbudget,0.4000095999799669,50,0.5,"(9, [(26, 1), (14, 1), (19, 1), (6, 1), (20, 1), (43, 1), (41, 1), (47, 1), (23, 1)])",9
spreading_minbudget,0.3633221000200137,50,0.5,"(8, [(21, 1), (6, 1), (13, 1), (14, 1), (41, 1), (43, 1), (49, 1), (24, 1)])",8
heuristic_minbudget,0.3938589000026695,50,0.5,"(8, [(14, 1), (21, 1), (13, 1), (6, 1), (24, 1), (43, 1), (41, 1), (49, 1)])",8
